city,name,latitude,longitude,address,rating,user_ratings_total
Kayseri,TARİHİ OSMANLI SOKAĞI MEKANLARI,38.6883631,35.5581333,"Kiçiköy, 38280 Talas/Kayseri, Türkiye",4.3,610
Kayseri,Barış Manço Parkı,38.72914100000001,35.4937799,"Serçeönü, Çankaya Cd. No:36, 38015 Kocasinan/Kayseri, Türkiye",4.0,1015
Kayseri,Fosil,38.9262914,35.4230104,"Erkilet Taşhan, 38100 Kocasinan/Kayseri, Türkiye",4.7,22
Kayseri,Amir Shahab Tomb,38.7203085,35.4956713,"Hunat, Kıbrıs Şehitleri Cd. 2 A, 38030 Melikgazi/Kayseri, Türkiye",4.5,37
Kayseri,Ali Mountain,38.662547,35.553857,"Harman Mh., 38280 Talas/Kayseri, Türkiye",4.4,133
Mugla,Muğla Clock Tower,37.21788290000001,28.3655836,"Emirbeyazıt, Atatürk Blv. No:17, 48000 Muğla Merkez/Muğla, Türkiye",4.4,156
Mugla,Orak Island Bay,36.9736726,27.5964643,"Orak Adası, 48440 Bodrum/Muğla, Türkiye",4.8,1071
Mugla,Muğla Ulu Camii,37.21913970000001,28.3652975,"Camikebir, Fabrika Sk. No:6, 48000 Muğla Merkez/Muğla, Türkiye",4.6,69
Mugla,Marmaris Castle and Archeology Museum,36.8505514,28.2742787,"Tepe, 30. Sk No:54, 48700 Marmaris/Muğla, Türkiye",4.6,12486
Mugla,Toparlar Waterfall,36.9974135,28.6329403,"Toparlar, 48804 Köyceğiz/Muğla, Türkiye",4.4,929
Mugla,Bodrum Castle,37.0317978,27.4291652,"Çarşı, Kale Cd., 48400 Bodrum/Muğla, Türkiye",4.5,22468
Mugla,Akyaka River Romp,37.0500955,28.3274454,"Akyaka, 48650 Ula/Muğla, Türkiye",4.7,7733
Mugla,Afife Kuyusu,37.192528,28.388045,"Orhaniye, 48000 Muğla Merkez/Muğla, Türkiye",4.2,26
Mugla,Muğla Museum,37.217386,28.368008,"Müştakbey, Eski Postane Cad., 48000 Muğla Merkez/Muğla, Türkiye",4.3,401
Nevsehir,Nevşehir Castle,38.619644,34.712518,"Eskili Mahallesi, Kale Sk. No:24, 50200 Nevşehir Merkez/Nevşehir, Türkiye",4.6,1579
Nevsehir,Goreme Historical National Park,38.6531191,34.8633084,"Yukarı Kızılçukur Vadisi, 50500 Ürgüp/Nevşehir, Türkiye",4.7,21948
Nevsehir,Imagination Valley,38.6724669,34.885426,"devrent mevkii no:1, 50500 Aktepe/Avanos/Nevşehir, Türkiye",4.7,6175
Nevsehir,Cappadocia,38.65618449999999,34.8522092,"2. Küme, Kapadokya Yürüyüş Yolu, 50500 Çavuşin/Avanos/Nevşehir, Türkiye",4.8,36
Nevsehir,Love Valley,38.6606431,34.8196919,"İsali - Gaferli - Avcılar, 50180 Göreme/Nevşehir Merkez/Nevşehir, Türkiye",4.7,13155
Nevsehir,Cappadocia National Park,38.6576627,34.8551788,"2. Küme, 50502 Çavuşin/Avanos/Nevşehir, Türkiye",4.9,18
Nevsehir,Balloon view,38.6506359,34.8408665,"İsali - Gaferli - Avcılar, MR2R+78, 50180 Göreme/Nevşehir Merkez/Nevşehir, Türkiye",4.9,366
Nevsehir,Pigeon Valley,38.6203802,34.8046945,"Göreme No:24, 50180 Nevşehir Merkez/Nevşehir, Türkiye",4.6,14733
Nevsehir,Fairy Chimneys Tourism Information,38.6291311,34.8043365,"Tekelli, Göreme-Uçhisar Yolu 3. Km, 50300 Uçhisar/Nevşehir Merkez/Nevşehir, Türkiye",4.7,296
Nevsehir,Uchisar Castle,38.6301476,34.8055857,"Tekelli, 50240 Uçhisar/Nevşehir Merkez/Nevşehir, Türkiye",4.6,25281
Nevsehir,Panorama View,38.6452022,34.821053,"Aydınlı - Orta, JRWC+3C, 50180 Göreme/Nevşehir Merkez/Nevşehir, Türkiye",4.7,346
Nevsehir,Zelve Open Air Museum,38.6692536,34.8633077,"Aydınlı Mahallesi, Yavuz Sk. No:1 No:1, 50180 Aktepe/Avanos/Nevşehir, Türkiye",4.7,7168
Nevsehir,Cappadocia,38.6496103,34.8354581,"İsali - Gaferli - Avcılar, 50180 Göreme/Nevşehir Merkez/Nevşehir, Türkiye",4.9,37
Nevsehir,Paşabağları Müze ve Örenyeri,38.6771901,34.85304,"1. Küme, Zelve Yolu, 50500 Çavuşin/Avanos/Nevşehir, Türkiye",4.7,22061
Nevsehir,Hot Air Balloon base,38.6550347,34.8102037,"Tekelli, MR46+23, 50240 Uçhisar/Nevşehir Merkez/Nevşehir, Türkiye",4.9,161
Nevsehir,Pigeon Valley,38.6323939,34.8089082,"Aşağı, Adnan Menderes Cd., 50240 Uçhisar/Nevşehir Merkez/Nevşehir, Türkiye",4.5,38
Nevsehir,Uchisar Photo spot,38.6329132,34.8037678,"Tekelli, JRM3+5G, 50240 Uçhisar/Nevşehir Merkez/Nevşehir, Türkiye",4.7,195
Nevsehir,Ortahisar Castle,38.6203575,34.8646507,"Esentepe, Resul Bey Sk., 50650 Ortahisar/Ürgüp/Nevşehir, Türkiye",4.5,5417
